C_2059287,T_13863
C_2059291,T_14271
C_2059293,T_13996
C_2059295,T_16257
C_2059297,T_13409
C_2059299,T_13867
C_2059302,T_14340
C_2059307,T_12049
C_2059313,T_942
C_2059315,T_13922
C_2059317,T_12256
C_2091183,T_176
C_2095513,T_1557
C_2097699,T_14216
C_2113371,T_14464
C_2141847,T_14412
C_2141850,T_14341
C_2141852,T_13998
C_2151142,T_7426
C_2172675,T_765
C_2179785,T_14719
C_2199199,T_540
C_2199351,T_765
C_2199444,T_14684
C_2199444,T_14686
C_2199450,T_14659
C_2199455,T_14237
C_2203212,T_13965
C_2211915,T_14933
C_2215499,T_14883
C_2217528,T_2810
C_2219328,T_10474
C_2221558,T_14830
C_2221559,T_14672
C_2221586,T_14331
C_2221879,T_14785
C_2222185,T_15342
C_2223976,T_13200
C_2223998,T_14293
C_2223998,T_14434
C_2225789,T_14837
C_2228956,T_10370
C_2229012,T_765
C_2229902,T_14856
C_2229908,T_14962
C_2229908,T_4054
C_2229911,T_7970
C_2229924,T_13225
C_2229924,T_13228
C_2229928,T_13704
C_2229928,T_13705
C_2231365,T_14459
C_2240973,T_9260
C_2244917,T_15138
C_2244927,T_2136
C_2255392,T_15667
C_2255392,T_15668
C_2256608,T_4608
C_2266746,T_15058
C_2266752,T_10841
C_2266754,T_14801
C_2266756,T_14590
C_2266758,T_15753
C_2266760,T_15247
C_2266770,T_15137
C_2266777,T_15037
C_2266777,T_15039
C_2287003,T_7228
C_2287011,T_12943
C_2287011,T_13004
C_2290629,T_359
C_2290629,T_15497
C_2290629,T_15499
C_2297227,T_15211
C_2297229,T_4294
C_2297235,T_13263
C_2297240,T_13674
C_2297243,T_14151
C_2308083,T_6437
C_2308097,T_15779
C_2308097,T_15794
C_2308099,T_15706
C_2308101,T_15848
C_2308102,T_16088
C_2308104,T_15711
C_2308105,T_10583
C_2316338,T_15291
C_2316339,T_15787
C_2316339,T_15788
C_2316351,T_15875
C_2316355,T_15414
C_2316358,T_7189
C_2316360,T_15770
C_2316361,T_15074
C_2316362,T_168
C_2323401,T_15971
C_2328471,T_11803
C_2328471,T_14784
C_2328478,T_15854
C_2328479,T_15264
C_2328482,T_15919
C_2328484,T_15913
C_2328484,T_15915
C_2328552,T_15970
C_2328554,T_16158
C_2328554,T_16194
C_2328554,T_16233
C_2329163,T_16086
C_2329163,T_16085
C_2329521,T_16058
C_2329521,T_16065
C_2332782,T_15979
C_2332898,T_16148
C_2333035,T_16157
C_2335754,T_16132
C_2335756,T_16142
C_2335756,T_16143
C_2335758,T_16698
C_2335763,T_16177
C_2335763,T_16180
C_2337972,T_3989
C_2337981,T_805
C_2338059,T_1563
C_2341259,T_38
C_2341259,T_3160
C_2341274,T_540
C_2342496,T_16219
C_2342497,T_16636
C_2342501,T_16235
C_2342502,T_15523
C_2342504,T_16308
C_2342504,T_16343
C_2342508,T_15983
C_2342532,T_1039
C_2343056,T_16377
C_2343522,T_16093
C_2344479,T_16372
C_584329,T_21
C_584329,T_22
C_597208,T_28
C_597365,T_156
C_629503,T_207
C_629558,T_233
C_654505,T_80
C_654505,T_81
C_655850,T_174
C_670597,T_283
C_674903,T_293
C_674926,T_326
C_674926,T_328
C_674962,T_364
C_674971,T_367
C_676635,T_372
C_676635,T_374
C_676645,T_404
C_676645,T_406
C_676654,T_417
C_676656,T_421
C_676660,T_426
C_676664,T_5439
C_676671,T_113
C_676673,T_441
C_676678,T_402
C_676705,T_482
C_676707,T_483
C_676895,T_62
C_676900,T_503
C_676917,T_519
C_676923,T_535
C_676923,T_538
C_676940,T_554
C_676942,T_548
C_676949,T_574
C_676949,T_575
C_676962,T_609
C_676962,T_610
C_676966,T_588
C_676969,T_444
C_676969,T_633
C_676975,T_660
C_677009,T_734
C_677014,T_738
C_677014,T_9943
C_677019,T_754
C_677023,T_625
C_677045,T_43
C_677047,T_808
C_677047,T_810
C_677061,T_829
C_677066,T_835
C_677087,T_744
C_677102,T_959
C_677109,T_989
C_677130,T_1029
C_677133,T_1036
C_677150,T_1058
C_677157,T_1075
C_677159,T_23
C_677161,T_1078
C_677179,T_1127
C_677218,T_1197
C_678165,T_270
C_678165,T_271
C_680717,T_1251
C_680717,T_1253
C_680722,T_1262
C_680730,T_1209
C_680732,T_1274
C_680738,T_1053
C_680757,T_1296
C_680765,T_1310
C_680765,T_1315
C_680777,T_1347
C_680780,T_1352
C_680789,T_1373
C_680789,T_1376
C_680792,T_1369
C_680803,T_1393
C_680804,T_1394
C_680805,T_1396
C_680808,T_995
C_680821,T_1429
C_680821,T_1430
C_680821,T_1433
C_680823,T_1436
C_680828,T_1452
C_680828,T_1453
C_680832,T_1456
C_680832,T_1457
C_680835,T_10879
C_680854,T_1096
C_680854,T_1486
C_680859,T_1492
C_680859,T_1494
C_680868,T_1508
C_680871,T_1512
C_680884,T_1524
C_680903,T_1547
C_680906,T_1555
C_680915,T_1568
C_680915,T_1565
C_680917,T_1571
C_680922,T_425
C_680929,T_1587
C_680929,T_1586
C_680936,T_1595
C_680936,T_1596
C_680941,T_1610
C_680952,T_1621
C_680952,T_1624
C_680952,T_1626
C_680963,T_1645
C_680972,T_1657
C_680972,T_1659
C_680976,T_1665
C_680980,T_1677
C_680980,T_1678
C_680984,T_1691
C_680986,T_1699
C_680989,T_1716
C_680990,T_1722
C_681011,T_1243
C_681011,T_1777
C_681011,T_1781
C_681011,T_1784
C_681027,T_1823
C_681030,T_1833
C_681030,T_1849
C_681030,T_1853
C_681031,T_1877
C_681031,T_1887
C_681031,T_1889
C_681031,T_1890
C_681031,T_1856
C_681031,T_1855
C_681031,T_1869
C_681031,T_1872
C_681041,T_10541
C_681042,T_1076
C_681045,T_1904
C_681047,T_1907
C_681058,T_1917
C_681068,T_1924
C_681069,T_1926
C_681069,T_1927
C_681071,T_1931
C_681073,T_1935
C_681074,T_1937
C_681080,T_1960
C_681080,T_1961
C_681084,T_384
C_681090,T_2008
C_681094,T_2012
C_681105,T_2034
C_681110,T_2041
C_681114,T_341
C_681152,T_2056
C_681158,T_2063
C_681197,T_2081
C_681260,T_2090
C_681262,T_2092
C_681276,T_2099
C_681276,T_2100
C_681335,T_2131
C_681336,T_2134
C_681339,T_2138
C_681341,T_2139
C_681345,T_2144
C_681345,T_2148
C_681357,T_2173
C_681364,T_324
C_681364,T_328
C_681365,T_4778
C_681369,T_9729
C_681382,T_2192
C_681382,T_2194
C_681389,T_2201
C_681396,T_2204
C_681397,T_2212
C_681400,T_2213
C_681406,T_2220
C_681414,T_2240
C_681420,T_2245
C_681422,T_4938
C_681432,T_2250
C_681432,T_4061
C_681452,T_2273
C_681470,T_2304
C_681470,T_2306
C_681470,T_2299
C_681474,T_2312
C_681481,T_2319
C_681485,T_2326
C_681488,T_2334
C_681488,T_2332
C_681502,T_2339
C_681502,T_2340
C_681519,T_2353
C_681519,T_2360
C_681519,T_2361
C_681533,T_2377
C_681533,T_2373
C_681533,T_2375
C_681548,T_2380
C_681554,T_2392
C_681554,T_2389
C_681560,T_386
C_681578,T_2407
C_681592,T_2416
C_681592,T_2423
C_681609,T_2432
C_681610,T_2432
C_681611,T_2433
C_681611,T_2436
C_681611,T_2437
C_681611,T_15861
C_681619,T_2446
C_681622,T_2447
C_681622,T_2448
C_681622,T_2453
C_681622,T_2456
C_681622,T_2457
C_681633,T_2465
C_681638,T_2472
C_681643,T_2477
C_681645,T_2484
C_681661,T_2503
C_681661,T_2506
C_681661,T_2510
C_681682,T_2556
C_681683,T_2565
C_681683,T_2557
C_681683,T_2559
C_681690,T_2582
C_681690,T_5772
C_681692,T_2584
C_681696,T_2588
C_681708,T_2612
C_681708,T_2613
C_681708,T_2615
C_681710,T_2554
C_681715,T_2628
C_681715,T_2635
C_681730,T_2636
C_681730,T_2650
C_681735,T_2662
C_681735,T_2665
C_681740,T_2675
C_681742,T_2673
C_681743,T_2679
C_681750,T_1384
C_681751,T_2706
C_681754,T_2709
C_681758,T_2718
C_681759,T_2720
C_681775,T_2751
C_681801,T_2772
C_681813,T_2781
C_681848,T_1269
C_681856,T_2815
C_681864,T_2828
C_681866,T_2832
C_681870,T_2838
C_681872,T_2839
C_681875,T_2844
C_681885,T_2867
C_681885,T_2868
C_681885,T_2871
C_681885,T_2399
C_681894,T_2874
C_681897,T_2876
C_681897,T_2878
C_681910,T_2882
C_681911,T_2883
C_681913,T_2887
C_681925,T_2898
C_681929,T_2903
C_681932,T_2911
C_681936,T_2920
C_681940,T_2934
C_681945,T_2942
C_681957,T_2984
C_681962,T_2990
C_681971,T_2999
C_681978,T_2078
C_681982,T_3015
C_681986,T_3028
C_681989,T_2539
C_681993,T_3051
C_681996,T_3057
C_682000,T_3077
C_682003,T_3080
C_682003,T_3082
C_682006,T_3094
C_682007,T_3102
C_682008,T_3104
C_682012,T_3109
C_682021,T_872
C_682131,T_3075
C_682131,T_3126
C_682138,T_2844
C_682141,T_3129
C_682157,T_2848
C_682180,T_3152
C_682183,T_3158
C_682184,T_2867
C_682193,T_3162
C_682205,T_3170
C_682205,T_3165
C_682219,T_3173
C_682219,T_3174
C_682229,T_3189
C_682233,T_3191
C_682233,T_3192
C_682237,T_3203
C_682247,T_3217
C_682247,T_3219
C_682248,T_3225
C_682248,T_3229
C_682250,T_3208
C_682258,T_2749
C_682259,T_3244
C_682261,T_3234
C_682261,T_3242
C_682265,T_3251
C_682269,T_3252
C_682269,T_3254
C_682277,T_6295
C_682277,T_9332
C_682280,T_3015
C_682296,T_3281
C_682297,T_3275
C_682302,T_2755
C_682304,T_3285
C_682311,T_2878
C_682314,T_5413
C_682319,T_3302
C_682319,T_3305
C_682320,T_2760
C_682322,T_3301
C_682324,T_3307
C_682327,T_3313
C_682330,T_2768
C_682343,T_3303
C_682344,T_3026
C_682345,T_2769
C_682349,T_3334
C_682358,T_2770
C_682360,T_1960
C_682360,T_3332
C_682373,T_2773
C_682379,T_2774
C_682395,T_386
C_682395,T_3377
C_682400,T_3379
C_682437,T_2806
C_682470,T_5155
C_682480,T_3423
C_682489,T_3449
C_682489,T_3450
C_682496,T_3460
C_682525,T_3500
C_682536,T_3530
C_682544,T_3532
C_682544,T_3535
C_682550,T_3542
C_682567,T_3560
C_682567,T_3561
C_682567,T_3562
C_682570,T_3566
C_682574,T_3109
C_682574,T_3111
C_682575,T_2939
C_682588,T_1174
C_682589,T_3598
C_682589,T_2171
C_682602,T_3619
C_682620,T_56
C_682620,T_60
C_682629,T_2977
C_682631,T_471
C_682648,T_3655
C_682656,T_4677
C_682660,T_3659
C_682697,T_3684
C_682702,T_3692
C_682709,T_743
C_682713,T_3307
C_682721,T_3699
C_682723,T_3700
C_682731,T_3136
C_682734,T_3713
C_682734,T_3715
C_682741,T_2896
C_682743,T_3720
C_682747,T_3722
C_682749,T_1521
C_682753,T_1577
C_682753,T_1575
C_682754,T_3728
C_682780,T_1651
C_682792,T_1687
C_682794,T_1727
C_682797,T_1750
C_682797,T_1751
C_682797,T_1752
C_682797,T_1753
C_682822,T_2071
C_694136,T_28
C_694147,T_3768
C_694149,T_3773
C_694156,T_3797
C_694158,T_3167
C_694162,T_1622
C_694168,T_4050
C_696518,T_1014
C_696537,T_727
C_696541,T_381
C_696555,T_349
C_696571,T_3817
C_696577,T_9260
C_696586,T_5175
C_696586,T_5178
C_696593,T_2427
C_696593,T_2428
C_696597,T_82
C_696597,T_6385
C_696606,T_3830
C_696614,T_3829
C_696625,T_924
C_696633,T_922
C_696633,T_928
C_696641,T_3998
C_696641,T_3997
C_696643,T_906
C_696643,T_915
C_696651,T_700
C_696656,T_896
C_696656,T_897
C_696659,T_3838
C_696659,T_3839
C_696667,T_6259
C_696682,T_498
C_696683,T_3841
C_696689,T_3846
C_696691,T_5215
C_696692,T_257
C_696705,T_782
C_696709,T_3849
C_696710,T_331
C_696740,T_3867
C_696746,T_1383
C_696759,T_990
C_696759,T_991
C_696769,T_3033
C_696771,T_1141
C_696785,T_3873
C_696788,T_816
C_696814,T_16690
C_696814,T_16688
C_696814,T_2369
C_696832,T_5097
C_696832,T_7790
C_696836,T_2689
C_696863,T_2599
C_696863,T_2596
C_696863,T_2601
C_696864,T_5
C_696864,T_8
C_696875,T_647
C_696886,T_1102
C_696889,T_3886
C_696890,T_1162
C_696904,T_5107
C_696904,T_5108
C_696904,T_5112
C_696915,T_1174
C_696938,T_2294
C_696942,T_52
C_696958,T_352
C_696968,T_48
C_696977,T_5118
C_696977,T_5124
C_696987,T_3895
C_696987,T_3900
C_696994,T_49
C_696998,T_818
C_697001,T_3422
C_697008,T_1639
C_697008,T_1515
C_697011,T_839
C_697019,T_3516
C_697019,T_3518
C_697027,T_1039
C_697031,T_3612
C_697039,T_517
C_697041,T_251
C_697055,T_3909
C_697056,T_562
C_697056,T_564
C_697059,T_2958
C_697065,T_1084
C_697070,T_491
C_697073,T_266
C_697082,T_557
C_697087,T_22
C_697092,T_3910
C_697106,T_674
C_697106,T_685
C_697121,T_3922
C_697126,T_6254
C_697142,T_3928
C_697173,T_668
C_697191,T_55
C_697228,T_658
C_697241,T_3589
C_697253,T_188
C_697265,T_100
C_697265,T_106
C_697278,T_805
C_697278,T_765
C_697285,T_3623
C_697285,T_3624
C_697289,T_620
C_697327,T_3618
C_697381,T_783
C_697398,T_593
C_697398,T_596
C_697398,T_598
C_697415,T_980
C_697493,T_151
C_697496,T_3940
C_697496,T_3944
C_697574,T_3066
C_697584,T_936
C_697585,T_1156
C_697585,T_1157
C_697677,T_846
C_697677,T_2052
C_697677,T_857
C_697686,T_3947
C_697714,T_3951
C_697729,T_2330
C_697791,T_38
C_697797,T_172
C_697797,T_176
C_697825,T_1289
C_707022,T_300
C_707025,T_212
C_707025,T_214
C_707025,T_216
C_707054,T_3373
C_707099,T_914
C_707099,T_915
C_707099,T_919
C_707125,T_805
C_707127,T_4602
C_707135,T_83
C_707363,T_16730
C_707366,T_3983
C_707456,T_1513
C_734028,T_4081
C_734041,T_528
C_734042,T_5413
C_734062,T_4108
C_734066,T_4117
C_735030,T_4136
C_735032,T_4123
C_735032,T_4125
C_735033,T_4116
C_735042,T_4141
C_735046,T_823
C_735046,T_9986
C_735046,T_7696
C_735050,T_4118
C_735066,T_65
C_735066,T_69
C_735071,T_4155
C_735071,T_4158
C_735079,T_4167
C_735079,T_4172
C_735089,T_4709
C_735096,T_4182
C_735096,T_4184
C_735096,T_4185
C_735096,T_4187
C_735101,T_4188
C_735103,T_4196
C_735122,T_5822
C_735131,T_4204
C_735132,T_4221
C_735138,T_4215
C_735146,T_4619
C_735194,T_2217
C_735200,T_12033
C_735214,T_4261
C_735227,T_4247
C_735227,T_4252
C_735236,T_2997
C_735236,T_4259
C_735236,T_4257
C_735241,T_11772
C_735253,T_4425
C_735283,T_4717
C_735283,T_4714
C_735293,T_4277
C_735306,T_8774
C_735308,T_4303
C_735325,T_4299
C_735326,T_4315
C_735335,T_1475
C_735336,T_4316
C_735336,T_4319
C_735336,T_4320
C_735351,T_402
C_735362,T_4342
C_735369,T_3310
C_735395,T_1423
C_735395,T_1421
C_735419,T_3239
C_735419,T_3240
C_735419,T_3242
C_735431,T_3216
C_736530,T_4363
C_737492,T_4243
C_737492,T_4245
C_737494,T_9539
C_737592,T_14326
C_746968,T_4396
C_746983,T_4407
C_746983,T_10932
C_747024,T_4416
C_747261,T_435
C_747261,T_5434
C_747261,T_5437
C_747261,T_5440
C_747271,T_4458
C_747271,T_4456
C_747690,T_1461
C_747690,T_4045
C_747718,T_4447
C_749756,T_3744
C_754135,T_5183
C_756629,T_4492
C_756642,T_5319
C_756690,T_4502
C_756717,T_4248
C_756736,T_4516
C_756747,T_4519
C_758183,T_3165
C_758194,T_4525
C_758204,T_5266
C_758208,T_4887
C_758886,T_1989
C_758886,T_4529
C_758886,T_4531
C_758898,T_6595
C_758928,T_4977
C_758928,T_4979
C_759037,T_4682
C_763992,T_3994
C_766175,T_4056
C_769293,T_805
C_769301,T_4587
C_769301,T_4586
C_769301,T_4582
C_769301,T_4580
C_769301,T_4573
C_773953,T_4707
C_773985,T_15034
C_776850,T_4906
C_777194,T_3759
C_780629,T_4699
C_781494,T_4691
C_781494,T_4645
C_781627,T_4683
C_784069,T_4754
C_784387,T_1461
C_785161,T_3762
C_789278,T_4009
C_789278,T_3999
C_789278,T_4005
C_789278,T_4003
C_789278,T_4000
C_789833,T_4372
C_789961,T_5090
C_789961,T_7936
C_797321,T_4739
C_797321,T_4737
C_797404,T_4471
C_797404,T_11426
C_797938,T_5301
C_798690,T_5001
C_799791,T_4939
C_799791,T_4940
C_799800,T_164
C_799800,T_166
C_800391,T_4801
C_801420,T_4971
C_801420,T_4973
C_813182,T_5027
C_813182,T_5036
C_813290,T_4844
C_813434,T_5040
C_813491,T_4988
C_813491,T_4984
C_813501,T_4931
C_813501,T_4932
C_814402,T_5092
C_819279,T_5141
C_819279,T_5143
C_819285,T_4944
C_819285,T_4945
C_823302,T_5167
C_825821,T_4893
C_825821,T_4894
C_825821,T_4896
C_830572,T_5898
C_837228,T_5267
C_837698,T_6151
C_837980,T_5250
C_837980,T_5260
C_837985,T_5225
C_837985,T_5228
C_837991,T_4992
C_842836,T_5347
C_851362,T_4996
C_854667,T_1063
C_854868,T_132
C_854902,T_5206
C_854902,T_4753
C_855431,T_6284
C_855688,T_5461
C_859519,T_5137
C_862963,T_5153
C_862967,T_5556
C_862967,T_5557
C_862969,T_5584
C_866164,T_5430
C_866164,T_995
C_866182,T_5663
C_866182,T_5664
C_866769,T_700
C_866769,T_702
C_866770,T_540
C_873858,T_5640
C_873858,T_5641
C_873858,T_5642
C_873860,T_5644
C_873860,T_5647
C_876705,T_5730
C_879045,T_5535
C_879074,T_5686
C_879104,T_5708
C_881112,T_5567
C_881112,T_5569
C_881112,T_5723
C_881170,T_823
C_881314,T_5806
C_881462,T_1484
C_887101,T_5445
C_887101,T_5915
C_887101,T_5943
C_887103,T_5707
C_887103,T_5725
C_887103,T_5720
C_887148,T_5699
C_890220,T_6669
C_890264,T_5898
C_893818,T_5562
C_893822,T_5946
C_898292,T_5891
C_901947,T_11055
C_901958,T_14770
C_901958,T_6116
C_901958,T_6118
C_901966,T_805
C_902288,T_2656
C_902888,T_2654
C_905186,T_5994
C_905186,T_6099
C_907940,T_236
C_907949,T_7162
C_907961,T_6388
C_907964,T_9929
C_907964,T_9930
C_908991,T_6236
C_908991,T_6241
C_911131,T_5455
C_911165,T_6141
C_911168,T_6201
C_911168,T_6163
C_911178,T_6316
C_911735,T_6369
C_916826,T_6208
C_916830,T_6403
C_916833,T_6088
C_916843,T_6189
C_916843,T_6190
C_916843,T_6191
C_916843,T_6192
C_926163,T_6095
C_926163,T_6361
C_927959,T_5986
C_927961,T_6541
C_927972,T_6501
C_928746,T_28
C_928746,T_3891
C_931250,T_7285
C_931250,T_6797
C_932172,T_879
C_932176,T_3750
C_932180,T_6472
C_934522,T_6321
C_934522,T_6713
C_934526,T_6474
C_936936,T_6447
C_936949,T_5669
C_936971,T_7429
C_936971,T_7430
C_936971,T_7431
C_936973,T_6633
C_936987,T_16357
C_943223,T_6651
C_943228,T_6676
C_943255,T_765
C_943265,T_6449
C_943267,T_6579
C_943270,T_6053
C_943270,T_6057
C_943962,T_7062
C_947152,T_7009
C_947156,T_7011
C_947158,T_7439
C_947158,T_7440
C_947167,T_14991
C_947167,T_7115
C_947235,T_7102
C_947241,T_7093
C_947241,T_7095
C_947242,T_7147
C_947243,T_7819
C_947243,T_7821
C_947243,T_7822
C_947243,T_7825
C_947244,T_7255
C_947251,T_7010
C_947255,T_7201
C_947258,T_7225
C_947693,T_7531
C_947695,T_3239
C_947696,T_7536
C_947702,T_7545
C_947706,T_7551
C_947707,T_7554
C_947718,T_7561
C_947719,T_7566
C_947752,T_7588
C_947768,T_7605
C_947773,T_3191
C_947773,T_3192
C_947804,T_7581
C_948040,T_7378
C_948046,T_7343
C_948076,T_7207
C_948076,T_7203
C_948080,T_6723
C_948080,T_6726
C_948080,T_6728
C_948083,T_7268
C_948083,T_7862
C_948083,T_7863
C_948093,T_7064
C_948095,T_7894
C_948114,T_7944
C_948132,T_7740
C_948132,T_7743
C_948140,T_7617
C_948141,T_7116
C_948153,T_7711
C_948208,T_7148
C_948208,T_7151
C_948212,T_7272
C_948214,T_6840
C_948244,T_7232
C_948245,T_6614
C_948269,T_6859
C_948270,T_7410
C_948289,T_6865
C_948294,T_7481
C_948296,T_11558
C_948387,T_6645
C_948391,T_6891
C_948395,T_6973
C_948404,T_7339
C_948405,T_10386
C_948407,T_6337
C_948408,T_7205
C_948423,T_7029
C_948435,T_7638
C_948468,T_7560
C_948468,T_7572
C_948488,T_7734
C_949439,T_5899
C_949542,T_7393
C_949542,T_7397
C_956130,T_8417
C_1017419,T_16203
C_1025064,T_5426
C_1025064,T_5427
C_1123944,T_7966
C_1123979,T_7931
C_1159827,T_7951
C_1320505,T_7921
C_1328548,T_9021
C_1410371,T_8297
C_1429045,T_561
C_1429045,T_564
C_1429234,T_8035
C_1645365,T_9516
C_1645365,T_9521
C_1679989,T_9800
C_1682805,T_9691
C_1683594,T_9829
C_1683594,T_9833
C_1683594,T_9842
C_1683594,T_9847
C_1686679,T_9808
C_1686679,T_9809
C_1687717,T_9885
C_1691144,T_9900
C_1696158,T_9752
C_1704755,T_9693
C_1711946,T_6372
C_1714447,T_12866
C_1714448,T_9678
C_1714448,T_9681
C_1720764,T_10098
C_1724279,T_8937
C_1724285,T_9942
C_1724286,T_9999
C_1724288,T_10056
C_1724291,T_7700
C_1732845,T_10085
C_1736284,T_9695
C_1736846,T_9962
C_1738959,T_10293
C_1738993,T_10228
C_1741502,T_8990
C_1741502,T_8993
C_1741526,T_8551
C_1741526,T_8588
C_1741536,T_10304
C_1741536,T_10336
C_1741987,T_43
C_1741987,T_10375
C_1741987,T_11634
C_1749733,T_796
C_1750786,T_10253
C_1750788,T_8781
C_1750791,T_6066
C_1750814,T_9798
C_1755887,T_1331
C_1755915,T_4464
C_1755920,T_4151
C_1755924,T_356
C_1755929,T_354
C_1755929,T_5586
C_1755929,T_356
C_1755929,T_5588
C_1755936,T_320
C_1755943,T_2954
C_1755943,T_2957
C_1755948,T_408
C_1755951,T_704
C_1755951,T_597
C_1755953,T_1018
C_1756058,T_766
C_1756060,T_119
C_1756062,T_254
C_1756063,T_48
C_1756066,T_784
C_1756075,T_3365
C_1756075,T_3368
C_1756075,T_3370
C_1756078,T_517
C_1756674,T_10484
C_1758019,T_9858
C_1758019,T_9856
C_1758019,T_9862
C_1760247,T_3157
C_1760285,T_3909
C_1760327,T_1580
C_1760327,T_1581
C_1761361,T_6223
C_1761364,T_1746
C_1761372,T_765
C_1761385,T_91
C_1761385,T_89
C_1761467,T_1908
C_1761469,T_2008
C_1761469,T_2007
C_1764844,T_4539
C_1764847,T_1905
C_1764860,T_1921
C_1764860,T_1919
C_1765588,T_10797
C_1765592,T_842
C_1765596,T_3727
C_1765600,T_10879
C_1765604,T_10589
C_1766165,T_1421
C_1766165,T_1417
C_1766165,T_1415
C_1766167,T_9815
C_1766167,T_9827
C_1766167,T_9830
C_1766167,T_9832
C_1766167,T_9835
C_1766167,T_9837
C_1766167,T_9849
C_1766168,T_4611
C_1766899,T_10614
C_1766899,T_10615
C_1767126,T_10645
C_1767576,T_10506
C_1767576,T_10478
C_1767578,T_10048
C_1771155,T_1307
C_1771156,T_1423
C_1771160,T_9678
C_1771161,T_7082
C_1771161,T_7083
C_1771161,T_7375
C_1771163,T_7266
C_1771163,T_7269
C_1771163,T_7862
C_1771167,T_7705
C_1771179,T_10670
C_1771179,T_11625
C_1771179,T_13279
C_1771634,T_10347
C_1774960,T_10891
C_1774960,T_10892
C_1774962,T_5324
C_1774969,T_10570
C_1774971,T_10626
C_1774971,T_10639
C_1774972,T_10827
C_1774973,T_7550
C_1774975,T_10831
C_1774977,T_10719
C_1774977,T_10717
C_1774983,T_3067
C_1774987,T_1850
C_1774987,T_1839
C_1774987,T_1838
C_1774989,T_10869
C_1775511,T_10776
C_1776285,T_8844
C_1776301,T_10676
C_1776301,T_10677
C_1776312,T_6880
C_1776312,T_6885
C_1778439,T_4318
C_1778561,T_10783
C_1778562,T_10720
C_1778566,T_10705
C_1779421,T_7367
C_1784704,T_5510
C_1784704,T_5835
C_1784704,T_5837
C_1784713,T_10872
C_1784725,T_3837
C_1784729,T_3374
C_1785616,T_10818
C_1789681,T_9144
C_1789683,T_10919
C_1789686,T_10826
C_1789687,T_10726
C_1789687,T_10729
C_1789688,T_10957
C_1789695,T_10888
C_1789696,T_10808
C_1791152,T_541
C_1791152,T_38
C_1792250,T_14385
C_1794464,T_3116
C_1794464,T_164
C_1794568,T_10932
C_1794790,T_8819
C_1794790,T_10904
C_1795810,T_11020
C_1796396,T_1488
C_1797904,T_11311
C_1804511,T_11320
C_1804595,T_11371
C_1804595,T_11409
C_1806527,T_11470
C_1808506,T_1699
C_1808506,T_1700
C_1808506,T_1702
C_1811720,T_8817
C_1811720,T_8811
C_1811728,T_11326
C_1811730,T_9535
C_1811737,T_9976
C_1811832,T_11382
C_1811836,T_11386
C_1811836,T_11387
C_1811837,T_6132
C_1811867,T_12036
C_1814140,T_11542
C_1814140,T_12044
C_1816012,T_11571
C_1816012,T_11597
C_1816033,T_11610
C_1816033,T_11609
C_1816152,T_11555
C_1816152,T_11556
C_1822804,T_11735
C_1822804,T_9150
C_1822804,T_8716
C_1824311,T_9283
C_1824376,T_11574
C_1824934,T_8860
C_1825107,T_11681
C_1825111,T_11693
C_1825200,T_6836
C_1828104,T_10870
C_1829948,T_11472
C_1829948,T_11614
C_1833535,T_3946
C_1836502,T_11795
C_1842720,T_766
C_1844102,T_11719
C_1844104,T_8709
C_1844106,T_13611
C_1844117,T_10843
C_1844119,T_11740
C_1844128,T_11780
C_1854868,T_9270
C_1864055,T_11307
C_1864056,T_11793
C_1864056,T_11995
C_1864059,T_11777
C_1864065,T_11830
C_1864381,T_12955
C_1875490,T_2332
C_1875490,T_11925
C_1875503,T_15986
C_1875509,T_11874
C_1875512,T_11618
C_1875515,T_11816
C_1875515,T_14468
C_1875535,T_11931
C_1875535,T_11935
C_1883679,T_12115
C_1886672,T_11492
C_1886678,T_11895
C_1886688,T_1304
C_1886689,T_12125
C_1886689,T_12132
C_1886691,T_12145
C_1886692,T_7306
C_1886696,T_4428
C_1891044,T_3310
C_1891044,T_4347
C_1891055,T_11816
C_1894914,T_11805
C_1896473,T_12862
C_1902586,T_12863
C_1903976,T_12185
C_1903982,T_11948
C_1904002,T_12873
C_1904002,T_13976
C_1904003,T_12171
C_1904005,T_10629
C_1904005,T_10888
C_1904007,T_12907
C_1904007,T_12908
C_1904007,T_12909
C_1904007,T_12915
C_1904668,T_12993
C_1904668,T_12994
C_1904668,T_13185
C_1904668,T_10025
C_1905468,T_12966
C_1906335,T_13032
C_1907726,T_12188
C_1907726,T_12189
C_1907832,T_12917
C_1907835,T_12896
C_1907836,T_12896
C_1907838,T_11679
C_1907838,T_11680
C_1907851,T_13147
C_1910405,T_13300
C_1910425,T_13314
C_1910426,T_13315
C_1910439,T_13312
C_1910442,T_13327
C_1910442,T_13329
C_1910444,T_13311
C_1912006,T_13240
C_1912018,T_7935
C_1912020,T_4478
C_1912020,T_4476
C_1912378,T_13430
C_1912378,T_13431
C_1912757,T_11939
C_1915246,T_13466
C_1918351,T_13058
C_1918354,T_1638
C_1918355,T_12076
C_1918355,T_12080
C_1918363,T_13440
C_1924175,T_12978
C_1924175,T_12979
C_1924175,T_826
C_1924175,T_10459
C_1924175,T_4155
C_1924175,T_5
C_1924175,T_5300
C_1924175,T_5490
C_1925894,T_13626
C_1925896,T_13608
C_1925897,T_13638
C_1925897,T_13640
C_1925901,T_12191
C_1925905,T_12088
C_1925905,T_12090
C_1925908,T_13647
